Machine	MachineType	MachineGroup	Location
M1	ETCH	ETCH_A	Bay1
M2	ETCH	ETCH_A	Bay1
M3	ETCH	ETCH_A	Bay1
M4	ETCH	ETCH_A	Bay1
M5	ETCH	ETCH_A	Bay1
M6	ETCH	ETCH_A	Bay1
M7	CMP	CMP_A	Bay1
M8	CMP	CMP_A	Bay1
M9	CMP	CMP_A	Bay1
M10	CMP	CMP_A	Bay1
M11	CVD	CVD_A	Bay2
M12	CVD	CVD_A	Bay2
M13	CVD	CVD_A	Bay2
M14	CVD	CVD_A	Bay2
M15	CVD	CVD_A	Bay2
M16	CVD	CVD_A	Bay2
M17	IMP	IMP_A	Bay2
M18	IMP	IMP_A	Bay2
M19	IMP	IMP_A	Bay2
M20	IMP	IMP_A	Bay2
M21	PHOTO	PHOTO_A	Bay3
M22	PHOTO	PHOTO_A	Bay3
M23	PHOTO	PHOTO_A	Bay3
M24	PHOTO	PHOTO_A	Bay3
M25	IMP	IMP_B	Bay3
M26	IMP	IMP_B	Bay3
M27	IMP	IMP_B	Bay3
M28	METRO	METRO_A	Bay3
M29	METRO	METRO_A	Bay3
M30	METRO	METRO_A	Bay3
M31	CVD	CVD_B	Bay4
M32	CVD	CVD_B	Bay4
M33	CVD	CVD_B	Bay4
M34	CVD	CVD_B	Bay4
M35	CVD	CVD_B	Bay4
M36	CMP	CMP_B	Bay4
M37	CMP	CMP_B	Bay4
M38	CMP	CMP_B	Bay4
M39	METRO	METRO_B	Bay4
M40	METRO	METRO_B	Bay4
M41	PHOTO	PHOTO_B	Bay5
M42	PHOTO	PHOTO_B	Bay5
M43	PHOTO	PHOTO_B	Bay5
M44	PHOTO	PHOTO_B	Bay5
M45	ETCH	ETCH_B	Bay5
M46	ETCH	ETCH_B	Bay5
M47	ETCH	ETCH_B	Bay5
M48	ETCH	ETCH_B	Bay5
M49	ETCH	ETCH_B	Bay5
M50	ETCH	ETCH_B	Bay5
M51	PHOTO	PHOTO_C	Bay6
M52	PHOTO	PHOTO_C	Bay6
M53	PHOTO	PHOTO_C	Bay6
M54	PHOTO	PHOTO_C	Bay6
M55	ETCH	ETCH_C	Bay6
M56	ETCH	ETCH_C	Bay6
M57	ETCH	ETCH_C	Bay6
M58	ETCH	ETCH_C	Bay6
M59	ETCH	ETCH_C	Bay6
M60	ETCH	ETCH_C	Bay6
M61	CVD	CVD_C	Bay7
M62	CVD	CVD_C	Bay7
M63	CVD	CVD_C	Bay7
M64	CVD	CVD_C	Bay7
M65	CVD	CVD_C	Bay7
M66	CMP	CMP_C	Bay7
M67	CMP	CMP_C	Bay7
M68	CMP	CMP_C	Bay7
M69	IMP	IMP_C	Bay7
M70	IMP	IMP_C	Bay7
M71	PHOTO	PHOTO_D	Bay8
M72	PHOTO	PHOTO_D	Bay8
M73	PHOTO	PHOTO_D	Bay8
M74	PHOTO	PHOTO_D	Bay8
M75	METRO	METRO_C	Bay8
M76	METRO	METRO_C	Bay8
M77	METRO	METRO_C	Bay8
M78	METRO	METRO_C	Bay8
M79	IMP	IMP_D	Bay8
M80	IMP	IMP_D	Bay8
M81	CVD	CVD_D	Bay9
M82	CVD	CVD_D	Bay9
M83	CMP	CMP_D	Bay9
M84	CMP	CMP_D	Bay9
M85	CMP	CMP_D	Bay9
M86	IMP	IMP_E	Bay9
M87	IMP	IMP_E	Bay9
M88	IMP	IMP_E	Bay9
M89	IMP	IMP_E	Bay9
M90	IMP	IMP_E	Bay9
M91	ETCH	ETCH_D	Bay10
M92	ETCH	ETCH_D	Bay10
M93	ETCH	ETCH_D	Bay10
M94	METRO	METRO_D	Bay10
M95	METRO	METRO_D	Bay10
M96	METRO	METRO_D	Bay10
M97	METRO	METRO_D	Bay10
M98	METRO	METRO_D	Bay10
M99	IMP	IMP_F	Bay10
M100	IMP	IMP_F	Bay10
