No	MachineType	 ProcessingTimeAvg(sec) 	ProcessingTimeSD	ProcessingTimeMinimum(sec)	SkipProbabilityOfMetrology
1	CMP	286 	29 	210 	0
2	CVD	815 	133 	120 	0
3	PHOTO	350 	120 	152 	0
4	ETCH	858 	196 	214 	0
5	METRO	318 	175 	86 	0.6
6	ETCH	186 	196 	98 	0
7	IMP	250 	195 	79 	0
8	CMP	350 	124 	60 	0
9	PHOTO	332 	121 	101 	0
10	ETCH	223 	112 	94 	0
11	CVD	655 	133 	115 	0
12	IMP	509 	118 	92 	0
13	CMP	270 	81 	177 	0
14	METRO	326 	175 	386 	0.75
15	PHOTO	521 	60 	105 	0
16	PHOTO	142 	40 	101 	0
17	ETCH	138 	127 	87 	0
18	CVD	219 	146 	105 	0
19	METRO	242 	90 	165 	0.55
20	CVD	220 	146 	180 	0
21	IMP	625 	112 	201 	0
22	CMP	240 	29 	95 	0
23	PHOTO	902 	140 	282 	0
24	ETCH	228 	103 	124 	0
25	METRO	282 	219 	169 	0.8
26	CVD	366 	129 	144 	0
27	IMP	189 	103 	125 	0
28	CMP	578 	25 	449 	0
29	PHOTO	258 	192 	176 	0
30	ETCH	712 	129 	420 	0
31	CVD	641 	66 	410 	0
32	IMP	232 	100 	83 	0
33	METRO	256 	115 	154 	0.55
34	IMP	182 	100 	88 	0
35	PHOTO	286 	29 	99 	0
36	ETCH	253 	111 	152 	0
37	METRO	219 	196 	187 	0.12
38	ETCH	150 	175 	86 	0
39	IMP	278 	195 	142 	0
40	METRO	413 	100 	169 	0.45
