FromBay	ToBay	TravelTimeAvg(sec)	TravelTimeSD	TravelTimeMin(sec)
Bay1	Bay1	65	13.0	45.5
Bay1	Bay2	110	22.0	77.0
Bay1	Bay3	220	44.0	154.0
Bay1	Bay4	330	66.0	231.0
Bay1	Bay5	440	88.0	308.0
Bay1	Bay6	550	110.0	385.0
Bay1	Bay7	440	88.0	308.0
Bay1	Bay8	330	66.0	231.0
Bay1	Bay9	220	44.0	154.0
Bay1	Bay10	110	22.0	77.0
Bay2	Bay1	110	22.0	77.0
Bay2	Bay2	65	13.0	45.5
Bay2	Bay3	110	22.0	77.0
Bay2	Bay4	220	44.0	154.0
Bay2	Bay5	330	66.0	231.0
Bay2	Bay6	440	88.0	308.0
Bay2	Bay7	550	110.0	385.0
Bay2	Bay8	440	88.0	308.0
Bay2	Bay9	330	66.0	231.0
Bay2	Bay10	220	44.0	154.0
Bay3	Bay1	220	44.0	154.0
Bay3	Bay2	110	22.0	77.0
Bay3	Bay3	65	13.0	45.5
Bay3	Bay4	110	22.0	77.0
Bay3	Bay5	220	44.0	154.0
Bay3	Bay6	330	66.0	231.0
Bay3	Bay7	440	88.0	308.0
Bay3	Bay8	550	110.0	385.0
Bay3	Bay9	440	88.0	308.0
Bay3	Bay10	330	66.0	231.0
Bay4	Bay1	330	66.0	231.0
Bay4	Bay2	220	44.0	154.0
Bay4	Bay3	110	22.0	77.0
Bay4	Bay4	65	13.0	45.5
Bay4	Bay5	110	22.0	77.0
Bay4	Bay6	220	44.0	154.0
Bay4	Bay7	330	66.0	231.0
Bay4	Bay8	440	88.0	308.0
Bay4	Bay9	550	110.0	385.0
Bay4	Bay10	440	88.0	308.0
Bay5	Bay1	440	88.0	308.0
Bay5	Bay2	330	66.0	231.0
Bay5	Bay3	220	44.0	154.0
Bay5	Bay4	110	22.0	77.0
Bay5	Bay5	65	13.0	45.5
Bay5	Bay6	110	22.0	77.0
Bay5	Bay7	220	44.0	154.0
Bay5	Bay8	330	66.0	231.0
Bay5	Bay9	440	88.0	308.0
Bay5	Bay10	550	110.0	385.0
Bay6	Bay1	550	110.0	385.0
Bay6	Bay2	440	88.0	308.0
Bay6	Bay3	330	66.0	231.0
Bay6	Bay4	220	44.0	154.0
Bay6	Bay5	110	22.0	77.0
Bay6	Bay6	65	13.0	45.5
Bay6	Bay7	110	22.0	77.0
Bay6	Bay8	220	44.0	154.0
Bay6	Bay9	330	66.0	231.0
Bay6	Bay10	440	88.0	308.0
Bay7	Bay1	440	88.0	308.0
Bay7	Bay2	550	110.0	385.0
Bay7	Bay3	440	88.0	308.0
Bay7	Bay4	330	66.0	231.0
Bay7	Bay5	220	44.0	154.0
Bay7	Bay6	110	22.0	77.0
Bay7	Bay7	65	13.0	45.5
Bay7	Bay8	110	22.0	77.0
Bay7	Bay9	220	44.0	154.0
Bay7	Bay10	330	66.0	231.0
Bay8	Bay1	330	66.0	231.0
Bay8	Bay2	440	88.0	308.0
Bay8	Bay3	550	110.0	385.0
Bay8	Bay4	440	88.0	308.0
Bay8	Bay5	330	66.0	231.0
Bay8	Bay6	220	44.0	154.0
Bay8	Bay7	110	22.0	77.0
Bay8	Bay8	65	13.0	45.5
Bay8	Bay9	110	22.0	77.0
Bay8	Bay10	220	44.0	154.0
Bay9	Bay1	220	44.0	154.0
Bay9	Bay2	330	66.0	231.0
Bay9	Bay3	440	88.0	308.0
Bay9	Bay4	550	110.0	385.0
Bay9	Bay5	440	88.0	308.0
Bay9	Bay6	330	66.0	231.0
Bay9	Bay7	220	44.0	154.0
Bay9	Bay8	110	22.0	77.0
Bay9	Bay9	65	13.0	45.5
Bay9	Bay10	110	22.0	77.0
Bay10	Bay1	110	22.0	77.0
Bay10	Bay2	220	44.0	154.0
Bay10	Bay3	330	66.0	231.0
Bay10	Bay4	440	88.0	308.0
Bay10	Bay5	550	110.0	385.0
Bay10	Bay6	440	88.0	308.0
Bay10	Bay7	330	66.0	231.0
Bay10	Bay8	220	44.0	154.0
Bay10	Bay9	110	22.0	77.0
Bay10	Bay10	65	13.0	45.5
