op_uid,lot_id,step_no,machine_type,machine,machine_group,bay,prev_bay,prev_machine,planned_travel_sec,ready_at_machine_sec,start_sec,end_sec,planned_proc_sec,machine_wait_sec,release_time
1,L00001,1,CMP,M7,CMP_A,Bay1,ENTRY,ENTRY,0.0,0.0,0.0,214.5,214.5,0.0,0.0
2,L00002,2,CVD,M11,CVD_A,Bay2,ENTRY,ENTRY,0.0,0.0,0.0,611.25,611.25,0.0,0.0
3,L00003,3,PHOTO,M21,PHOTO_A,Bay3,ENTRY,ENTRY,0.0,0.0,0.0,262.5,262.5,0.0,0.0
4,L00004,4,ETCH,M1,ETCH_A,Bay1,ENTRY,ENTRY,0.0,0.0,0.0,643.5,643.5,0.0,0.0
5,L00005,5,METRO,M28,METRO_A,Bay3,ENTRY,ENTRY,0.0,0.0,0.0,238.5,238.5,0.0,0.0
6,L00006,6,ETCH,M2,ETCH_A,Bay1,ENTRY,ENTRY,0.0,0.0,0.0,139.5,139.5,0.0,0.0
7,L00007,7,IMP,M17,IMP_A,Bay2,ENTRY,ENTRY,0.0,0.0,0.0,187.5,187.5,0.0,0.0
8,L00008,8,CMP,M8,CMP_A,Bay1,ENTRY,ENTRY,0.0,0.0,0.0,262.5,262.5,0.0,0.0
9,L00009,9,PHOTO,M22,PHOTO_A,Bay3,ENTRY,ENTRY,0.0,0.0,0.0,249.0,249.0,0.0,0.0
10,L00010,10,ETCH,M3,ETCH_A,Bay1,ENTRY,ENTRY,0.0,0.0,0.0,167.25,167.25,0.0,0.0
11,L00011,11,CVD,M12,CVD_A,Bay2,ENTRY,ENTRY,0.0,0.0,0.0,491.25,491.25,0.0,0.0
12,L00012,12,IMP,M18,IMP_A,Bay2,ENTRY,ENTRY,0.0,0.0,0.0,381.75,381.75,0.0,0.0
13,L00013,13,CMP,M9,CMP_A,Bay1,ENTRY,ENTRY,0.0,0.0,0.0,202.5,202.5,0.0,0.0
14,L00014,14,METRO,M29,METRO_A,Bay3,ENTRY,ENTRY,0.0,0.0,0.0,244.5,244.5,0.0,0.0
15,L00015,15,PHOTO,M23,PHOTO_A,Bay3,ENTRY,ENTRY,0.0,0.0,0.0,390.75,390.75,0.0,0.0
16,L00016,16,PHOTO,M24,PHOTO_A,Bay3,ENTRY,ENTRY,0.0,0.0,0.0,106.5,106.5,0.0,0.0
17,L00017,17,ETCH,M4,ETCH_A,Bay1,ENTRY,ENTRY,0.0,0.0,0.0,103.5,103.5,0.0,0.0
18,L00018,18,CVD,M13,CVD_A,Bay2,ENTRY,ENTRY,0.0,0.0,0.0,164.25,164.25,0.0,0.0
19,L00019,19,METRO,M30,METRO_A,Bay3,ENTRY,ENTRY,0.0,0.0,0.0,181.5,181.5,0.0,0.0
20,L00020,20,CVD,M14,CVD_A,Bay2,ENTRY,ENTRY,0.0,0.0,0.0,165.0,165.0,0.0,0.0
21,L00021,21,IMP,M19,IMP_A,Bay2,ENTRY,ENTRY,0.0,0.0,0.0,468.75,468.75,0.0,0.0
22,L00022,22,CMP,M10,CMP_A,Bay1,ENTRY,ENTRY,0.0,0.0,0.0,180.0,180.0,0.0,0.0
23,L00023,23,PHOTO,M41,PHOTO_B,Bay5,ENTRY,ENTRY,0.0,0.0,0.0,676.5,676.5,0.0,0.0
24,L00024,24,ETCH,M5,ETCH_A,Bay1,ENTRY,ENTRY,0.0,0.0,0.0,171.0,171.0,0.0,0.0
25,L00025,25,METRO,M39,METRO_B,Bay4,ENTRY,ENTRY,0.0,0.0,0.0,211.5,211.5,0.0,0.0
26,L00026,26,CVD,M15,CVD_A,Bay2,ENTRY,ENTRY,0.0,0.0,0.0,274.5,274.5,0.0,0.0
27,L00027,27,IMP,M20,IMP_A,Bay2,ENTRY,ENTRY,0.0,0.0,0.0,141.75,141.75,0.0,0.0
28,L00028,28,CMP,M36,CMP_B,Bay4,ENTRY,ENTRY,0.0,0.0,0.0,433.5,433.5,0.0,0.0
29,L00029,29,PHOTO,M42,PHOTO_B,Bay5,ENTRY,ENTRY,0.0,0.0,0.0,193.5,193.5,0.0,0.0
30,L00030,30,ETCH,M6,ETCH_A,Bay1,ENTRY,ENTRY,0.0,0.0,0.0,534.0,534.0,0.0,0.0
31,L00031,31,CVD,M16,CVD_A,Bay2,ENTRY,ENTRY,0.0,0.0,0.0,480.75,480.75,0.0,0.0
32,L00032,32,IMP,M25,IMP_B,Bay3,ENTRY,ENTRY,0.0,0.0,0.0,174.0,174.0,0.0,0.0
33,L00033,33,METRO,M40,METRO_B,Bay4,ENTRY,ENTRY,0.0,0.0,0.0,192.0,192.0,0.0,0.0
34,L00034,34,IMP,M26,IMP_B,Bay3,ENTRY,ENTRY,0.0,0.0,0.0,136.5,136.5,0.0,0.0
35,L00035,35,PHOTO,M43,PHOTO_B,Bay5,ENTRY,ENTRY,0.0,0.0,0.0,214.5,214.5,0.0,0.0
36,L00036,36,ETCH,M45,ETCH_B,Bay5,ENTRY,ENTRY,0.0,0.0,0.0,189.75,189.75,0.0,0.0
37,L00037,37,METRO,M75,METRO_C,Bay8,ENTRY,ENTRY,0.0,0.0,0.0,164.25,164.25,0.0,0.0
38,L00038,38,ETCH,M46,ETCH_B,Bay5,ENTRY,ENTRY,0.0,0.0,0.0,112.5,112.5,0.0,0.0
39,L00039,39,IMP,M27,IMP_B,Bay3,ENTRY,ENTRY,0.0,0.0,0.0,208.5,208.5,0.0,0.0
40,L00040,40,METRO,M76,METRO_C,Bay8,ENTRY,ENTRY,0.0,0.0,0.0,309.75,309.75,0.0,0.0
41,L00041,1,CMP,M37,CMP_B,Bay4,ENTRY,ENTRY,0.0,0.0,0.0,214.5,214.5,0.0,0.0
42,L00042,2,CVD,M31,CVD_B,Bay4,ENTRY,ENTRY,0.0,0.0,0.0,611.25,611.25,0.0,0.0
43,L00043,3,PHOTO,M44,PHOTO_B,Bay5,ENTRY,ENTRY,0.0,0.0,0.0,262.5,262.5,0.0,0.0
44,L00044,4,ETCH,M47,ETCH_B,Bay5,ENTRY,ENTRY,0.0,0.0,0.0,643.5,643.5,0.0,0.0
45,L00045,5,METRO,M77,METRO_C,Bay8,ENTRY,ENTRY,0.0,0.0,0.0,238.5,238.5,0.0,0.0
46,L00046,6,ETCH,M48,ETCH_B,Bay5,ENTRY,ENTRY,0.0,0.0,0.0,139.5,139.5,0.0,0.0
47,L00047,7,IMP,M69,IMP_C,Bay7,ENTRY,ENTRY,0.0,0.0,0.0,187.5,187.5,0.0,0.0
48,L00048,8,CMP,M38,CMP_B,Bay4,ENTRY,ENTRY,0.0,0.0,0.0,262.5,262.5,0.0,0.0
49,L00049,9,PHOTO,M51,PHOTO_C,Bay6,ENTRY,ENTRY,0.0,0.0,0.0,249.0,249.0,0.0,0.0
