task_id,lot_id,from_step_no,to_step_no,source_machine,source_group,source_bay,dest_machine,dest_group,dest_bay,planned_ready_sec,planned_due_sec,planned_avg_travel_sec,planned_slack_sec
T0000001,L00001,1,2,M7,CMP_A,Bay1,M82,CVD_D,Bay9,214.5,972.0,220.0,537.5
T0000002,L00001,2,3,M82,CVD_D,Bay9,M72,PHOTO_D,Bay8,1583.25,2625.0,110.0,931.75
T0000003,L00001,3,4,M72,PHOTO_D,Bay8,M91,ETCH_D,Bay10,2887.5,3052.484,220.0,-55.016000000000076
T0000004,L00001,4,5,M91,ETCH_D,Bay10,M95,METRO_D,Bay10,3695.984,4332.0,65.0,571.0160000000001
T0000005,L00001,5,6,M95,METRO_D,Bay10,M3,ETCH_A,Bay1,4570.5,4754.638,110.0,74.13799999999992
T0000006,L00001,6,7,M3,ETCH_A,Bay1,M20,IMP_A,Bay2,4894.138,5055.715,110.0,51.577000000000226
T0000007,L00001,7,8,M20,IMP_A,Bay2,M67,CMP_C,Bay7,5243.215,5479.5,550.0,-313.71500000000015
T0000008,L00001,8,9,M67,CMP_C,Bay7,M22,PHOTO_A,Bay3,5742.0,7753.5,440.0,1571.5
T0000009,L00001,9,10,M22,PHOTO_A,Bay3,M50,ETCH_B,Bay5,8002.5,8229.861,220.0,7.361000000000786
T0000010,L00001,10,11,M50,ETCH_B,Bay5,M81,CVD_D,Bay9,8397.111,9627.75,440.0,790.6389999999992
T0000011,L00001,11,12,M81,CVD_D,Bay9,M79,IMP_D,Bay8,10119.0,10239.577,110.0,10.576999999999316
T0000012,L00001,12,13,M79,IMP_D,Bay8,M85,CMP_D,Bay9,10621.327,10730.319,110.0,-1.0079999999998108
T0000013,L00001,13,14,M85,CMP_D,Bay9,M97,METRO_D,Bay10,10932.819,11087.88,110.0,45.060999999999694
T0000014,L00001,14,15,M97,METRO_D,Bay10,M23,PHOTO_A,Bay3,11332.38,13604.25,330.0,1941.8700000000008
T0000015,L00001,15,16,M23,PHOTO_A,Bay3,M71,PHOTO_D,Bay8,13995.0,16785.75,550.0,2240.75
T0000016,L00001,16,17,M71,PHOTO_D,Bay8,M3,ETCH_A,Bay1,16892.25,17076.388,330.0,-145.862000000001
T0000017,L00001,17,18,M3,ETCH_A,Bay1,M61,CVD_C,Bay7,17179.888,17541.75,440.0,-78.13799999999901
T0000018,L00001,18,19,M61,CVD_C,Bay7,M78,METRO_C,Bay8,17706.0,17922.564000000002,110.0,106.56400000000212
T0000019,L00001,19,20,M78,METRO_C,Bay8,M61,CVD_C,Bay7,18104.064000000002,18420.0,110.0,205.93599999999788
T0000020,L00001,20,21,M61,CVD_C,Bay7,M89,IMP_E,Bay9,18585.0,18788.377,220.0,-16.622999999999593
T0000021,L00001,21,22,M89,IMP_E,Bay9,M66,CMP_C,Bay7,19257.127,19586.802,220.0,109.67499999999927
T0000022,L00001,22,23,M66,CMP_C,Bay7,M23,PHOTO_A,Bay3,19766.802,23069.25,440.0,2862.4480000000003
T0000023,L00001,23,24,M23,PHOTO_A,Bay3,M48,ETCH_B,Bay5,23745.75,23940.111,220.0,-25.638999999999214
T0000024,L00001,24,25,M48,ETCH_B,Bay5,M95,METRO_D,Bay10,24111.111,24336.056,550.0,-325.0550000000003
T0000025,L00001,25,26,M95,METRO_D,Bay10,M13,CVD_A,Bay2,24547.556,24773.975000000002,220.0,6.419000000001688
T0000026,L00001,26,27,M13,CVD_A,Bay2,M20,IMP_A,Bay2,25048.475000000002,25187.954,65.0,74.47899999999936
T0000027,L00001,27,28,M20,IMP_A,Bay2,M36,CMP_B,Bay4,25329.704,25474.888000000003,220.0,-74.8159999999989
T0000028,L00001,28,29,M36,CMP_B,Bay4,M23,PHOTO_A,Bay3,25908.388000000003,29008.5,110.0,2990.1119999999974
T0000029,L00001,29,30,M23,PHOTO_A,Bay3,M47,ETCH_B,Bay5,29202.0,29385.361,220.0,-36.638999999999214
T0000030,L00001,30,31,M47,ETCH_B,Bay5,M16,CVD_A,Bay2,29919.361,30321.836,330.0,72.47499999999854
T0000031,L00001,31,32,M16,CVD_A,Bay2,M25,IMP_B,Bay3,30802.586,30894.106999999996,110.0,-18.479000000002998
T0000032,L00001,32,33,M25,IMP_B,Bay3,M39,METRO_B,Bay4,31068.106999999996,31311.831,110.0,133.72400000000198
T0000033,L00001,33,34,M39,METRO_B,Bay4,M88,IMP_E,Bay9,31503.831,31756.168999999998,550.0,-297.66200000000026
T0000034,L00001,34,35,M88,IMP_E,Bay9,M52,PHOTO_C,Bay6,31892.668999999998,35022.75,330.0,2800.081000000002
T0000035,L00001,35,36,M52,PHOTO_C,Bay6,M60,ETCH_C,Bay6,35237.25,35363.842,65.0,61.591999999996915
T0000036,L00001,36,37,M60,ETCH_C,Bay6,M75,METRO_C,Bay8,35553.592,35694.087,220.0,-79.50499999999738
T0000037,L00001,37,38,M75,METRO_C,Bay8,M5,ETCH_A,Bay1,35858.337,36109.725,330.0,-78.61200000000099
T0000038,L00001,38,39,M5,ETCH_A,Bay1,M26,IMP_B,Bay3,36222.225,36368.186,220.0,-74.03899999999703
T0000039,L00001,39,40,M26,IMP_B,Bay3,M28,METRO_A,Bay3,36576.686,36618.686,65.0,-23.0
T0000040,L00002,2,3,M11,CVD_A,Bay2,M73,PHOTO_D,Bay8,611.25,1296.0,440.0,244.75
T0000041,L00002,3,4,M73,PHOTO_D,Bay8,M91,ETCH_D,Bay10,1558.5,1712.484,220.0,-66.01600000000008
T0000042,L00002,4,5,M91,ETCH_D,Bay10,M96,METRO_D,Bay10,2355.984,3096.75,65.0,675.7660000000001
T0000043,L00002,5,6,M96,METRO_D,Bay10,M5,ETCH_A,Bay1,3335.25,3511.795,110.0,66.54500000000007
T0000044,L00002,6,7,M5,ETCH_A,Bay1,M18,IMP_A,Bay2,3651.295,3768.8720000000003,110.0,7.5770000000002256
T0000045,L00002,7,8,M18,IMP_A,Bay2,M10,CMP_A,Bay1,3956.3720000000003,4236.886,110.0,170.51400000000012
T0000046,L00002,8,9,M10,CMP_A,Bay1,M51,PHOTO_C,Bay6,4499.386,6321.75,550.0,1272.3639999999996
T0000047,L00002,9,10,M51,PHOTO_C,Bay6,M59,ETCH_C,Bay6,6570.75,6769.842,65.0,134.09199999999964
T0000048,L00002,10,11,M59,ETCH_C,Bay6,M81,CVD_D,Bay9,6937.092,8361.0,330.0,1093.9080000000004
T0000049,L00002,11,12,M81,CVD_D,Bay9,M87,IMP_E,Bay9,8852.25,8956.842,65.0,39.59200000000055
T0000050,L00002,12,13,M87,IMP_E,Bay9,M7,CMP_A,Bay1,9338.592,9549.130000000001,220.0,-9.461999999999534
T0000051,L00002,13,14,M7,CMP_A,Bay1,M40,METRO_B,Bay4,9751.630000000001,9912.214000000002,330.0,-169.41599999999926
T0000052,L00002,14,15,M40,METRO_B,Bay4,M71,PHOTO_D,Bay8,10156.714000000002,12343.5,440.0,1746.7859999999982
T0000053,L00002,15,16,M71,PHOTO_D,Bay8,M72,PHOTO_D,Bay8,12734.25,15092.25,65.0,2293.0
T0000054,L00002,16,17,M72,PHOTO_D,Bay8,M93,ETCH_D,Bay10,15198.75,15422.884,220.0,4.1340000000000146
T0000055,L00002,17,18,M93,ETCH_D,Bay10,M16,CVD_A,Bay2,15526.384,16167.0,220.0,420.616
T0000056,L00002,18,19,M16,CVD_A,Bay2,M39,METRO_B,Bay4,16331.25,16485.019,220.0,-66.23099999999977
