#,#,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,#,#
#,7,##,##,##,##,##,##,##,##,##,15,##,##,##,##,##,##,##,14,##,##,##,##,##,##,##,15,##,##,##,##,##,##,##,14,##,##,##,##,##,##,##,15,##,##,##,##,##,##,##,##,###,6,#
3,###,###,##,##,##,##,##,##,##,##,17,##,##,##,##,##,##,##,19,##,##,##,##,##,##,##,17,##,##,##,##,##,##,##,19,##,##,##,##,##,##,##,17,##,##,##,##,##,##,##,##,###,###,2
3,###,###,##,##,##,##,##,##,##,8,1,5,##,#,#,#,##,8,1,5,##,#,#,#,##,8,1,5,##,#,#,#,##,8,1,5,##,#,#,#,##,8,1,5,##,##,##,##,##,##,##,###,###,2
3,###,###,##,##,##,##,##,##,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,##,##,##,##,##,##,###,###,2
3,###,###,##,##,##,##,##,##,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,##,##,##,##,##,##,###,###,2
3,###,###,##,##,##,##,##,##,##,2,#,3,9,#,#,#,11,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,##,##,##,##,##,##,###,###,2
3,###,###,##,##,##,##,##,##,##,2,#,3,##,1,1,1,##,2,#,3,9,#,#,#,11,2,#,3,9,#,#,#,11,2,#,3,9,#,#,#,11,2,#,3,##,##,##,##,##,##,##,###,###,2
3,###,###,##,##,##,##,##,##,##,2,#,3,##,#,#,#,##,2,#,3,##,1,1,1,##,2,#,3,##,1,1,1,##,2,#,3,##,1,1,1,##,2,#,3,##,##,##,##,##,##,##,###,###,2
3,###,###,##,##,##,##,##,##,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,##,##,##,##,##,##,###,###,2
3,###,###,##,##,##,##,##,##,##,2,#,3,##,4,4,4,##,2,#,3,##,4,4,4,##,2,#,3,##,4,4,4,##,2,#,3,##,4,4,4,##,2,#,3,##,##,##,##,##,##,##,###,###,2
3,###,###,##,##,##,##,##,##,##,2,#,3,7,#,#,#,6,2,#,3,7,#,#,#,6,2,#,3,7,#,#,#,6,2,#,3,7,#,#,#,6,2,#,3,##,##,##,##,##,##,##,###,###,2
3,###,###,##,##,##,##,##,##,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,##,##,##,##,##,##,###,###,2
3,###,###,##,##,##,##,##,##,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,##,##,##,##,##,##,###,###,2
3,###,###,##,##,##,##,##,##,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,##,##,##,##,##,##,###,###,2
3,###,###,##,##,##,##,##,##,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,##,##,##,##,##,##,###,###,2
3,###,###,##,##,##,##,##,##,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,##,##,##,##,##,##,###,###,2
3,###,###,##,##,##,##,##,##,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,##,##,##,##,##,##,###,###,2
3,###,###,##,##,##,##,##,##,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,##,##,##,##,##,##,###,###,2
3,###,###,##,##,##,##,##,##,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,##,##,##,##,##,##,###,###,2
3,###,###,##,##,##,##,##,##,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,##,##,##,##,##,##,###,###,2
3,###,###,##,##,##,##,##,##,##,2,#,3,9,#,#,#,11,2,#,3,9,#,#,#,11,2,#,3,9,#,#,#,11,2,#,3,9,#,#,#,11,2,#,3,##,##,##,##,##,##,##,###,###,2
3,###,###,##,##,##,##,##,##,##,2,#,3,##,1,1,1,##,2,#,3,##,1,1,1,##,2,#,3,##,1,1,1,##,2,#,3,##,1,1,1,##,2,#,3,##,##,##,##,##,##,##,###,###,2
3,###,###,##,##,##,##,##,##,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,##,##,##,##,##,##,###,###,2
3,###,###,##,##,##,##,##,##,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,##,##,##,##,##,##,###,###,2
3,###,###,##,##,##,##,##,##,##,2,#,3,##,4,4,4,##,2,#,3,##,4,4,4,##,2,#,3,##,4,4,4,##,2,#,3,##,4,4,4,##,2,#,3,##,##,##,##,##,##,##,###,###,2
3,###,###,##,##,##,##,##,##,##,2,#,3,7,#,#,#,6,2,#,3,7,#,#,#,6,2,#,3,7,#,#,#,6,2,#,3,7,#,#,#,6,2,#,3,##,##,##,##,##,##,##,###,###,2
3,###,###,##,##,##,##,##,##,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,##,##,##,##,##,##,###,###,2
3,###,###,##,##,##,##,##,##,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,##,##,##,##,##,##,###,###,2
3,###,###,##,##,##,##,##,##,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,##,##,##,##,##,##,###,###,2
3,###,###,##,##,##,##,##,##,11,##,##,##,9,##,#,#,11,#,#,#,9,#,#,#,11,#,#,#,9,#,,#,11,#,#,#,9,#,#,#,11,#,#,#,9,##,##,##,##,##,##,###,###,2
3,###,###,##,8,1,1,1,1,1,1,16,1,1,1,1,1,1,1,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1,1,1,1,1,1,13,1,1,1,1,1,1,5,##,###,###,2
3,9,###,11,2,###,###,###,###,###,19,###,###,###,###,###,###,###,###,###,17,###,###,###,###,###,###,###,###,###,###,###,###,###,19,###,###,###,###,###,###,###,###,###,17,###,###,###,###,###,3,9,###,11,2
3,###,1,###,2,###,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,###,3,###,1,###,2
3,###,###,###,2,###,2,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,3,###,3,###,###,###,2
3,###,4,###,2,###,10,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,12,###,3,###,4,###,2
3,7,###,6,2,###,###,###,###,###,###,###,15,###,###,###,###,###,14,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,15,###,###,###,###,###,14,###,###,###,###,###,###,###,3,7,###,6,2
