from_machine,to_machine,with_handling_sec
M1,M2,31.0
M1,M3,42.0
M1,M4,53.0
M1,M5,64.0
M1,M6,93.592
M1,M7,104.592
M1,M8,115.592
M1,M9,126.592
M1,M10,137.592
M1,M11,171.584
M1,M12,182.584
M1,M13,153.984
M1,M14,164.984
M1,M15,175.984
M1,M16,139.577
M1,M17,150.577
M1,M18,161.577
M1,M19,172.577
M1,M20,183.577
M1,M21,189.184
M1,M22,200.184
M1,M23,199.969
M1,M24,210.969
M1,M25,160.369
M1,M26,189.961
M1,M27,200.961
M1,M28,211.961
M1,M29,222.961
M1,M30,227.577
M1,M31,206.784
M1,M32,217.784
M1,M33,228.784
M1,M34,239.784
M1,M35,210.753
M1,M36,240.346
M1,M37,251.346
M1,M38,262.346
M1,M39,273.346
M1,M40,245.177
M1,M41,224.384
M1,M42,235.384
M1,M43,246.384
M1,M44,257.384
M1,M45,261.138
M1,M46,290.73
M1,M47,301.73
M1,M48,312.73
M1,M49,323.73
M1,M50,334.73
M1,M51,276.538
M1,M52,287.538
M1,M53,298.538
M1,M54,309.538
M1,M55,320.538
M1,M56,350.13
M1,M57,347.93
M1,M58,358.93
M1,M59,369.93
M1,M60,314.93
M1,M61,294.138
M1,M62,305.138
M1,M63,316.138
M1,M64,327.138
M1,M65,338.138
M1,M66,367.73
M1,M67,365.53
M1,M68,376.53
M1,M69,387.53
M1,M70,332.53
M1,M71,311.738
M1,M72,322.738
M1,M73,333.738
M1,M74,344.738
M1,M75,355.738
M1,M76,385.33
M1,M77,383.13
M1,M78,394.13
M1,M79,405.13
M1,M80,350.13
M1,M81,329.338
M1,M82,340.338
M1,M83,351.338
M1,M84,362.338
M1,M85,373.338
M1,M86,402.93
M1,M87,400.73
M1,M88,411.73
M1,M89,422.73
M1,M90,367.73
M1,M91,346.938
M1,M92,357.938
M1,M93,368.938
M1,M94,379.938
M1,M95,390.938
M1,M96,377.314
M1,M97,388.314
M1,M98,399.314
M1,M99,410.314
M1,M100,421.314
M2,M1,281.275
M2,M3,31.0
M2,M4,42.0
M2,M5,53.0
M2,M6,82.592
M2,M7,93.592
M2,M8,104.592
M2,M9,115.592
M2,M10,126.592
M2,M11,160.584
M2,M12,171.584
M2,M13,142.984
M2,M14,153.984
M2,M15,164.984
M2,M16,128.577
M2,M17,139.577
M2,M18,150.577
M2,M19,161.577
M2,M20,172.577
M2,M21,178.184
M2,M22,189.184
M2,M23,188.969
M2,M24,199.969
M2,M25,149.369
M2,M26,178.961
M2,M27,189.961
M2,M28,200.961
M2,M29,211.961
M2,M30,216.577
M2,M31,195.784
M2,M32,206.784
M2,M33,217.784
M2,M34,228.784
M2,M35,199.753
M2,M36,229.346
M2,M37,240.346
M2,M38,251.346
M2,M39,262.346
M2,M40,234.177
M2,M41,213.384
M2,M42,224.384
M2,M43,235.384
M2,M44,246.384
M2,M45,250.138
M2,M46,279.73
M2,M47,290.73
M2,M48,301.73
M2,M49,312.73
M2,M50,323.73
M2,M51,265.538
M2,M52,276.538
M2,M53,287.538
M2,M54,298.538
M2,M55,309.538
M2,M56,339.13
M2,M57,336.93
M2,M58,347.93
M2,M59,358.93
M2,M60,303.93
M2,M61,283.138
M2,M62,294.138
M2,M63,305.138
M2,M64,316.138
M2,M65,327.138
M2,M66,356.73
M2,M67,354.53
M2,M68,365.53
M2,M69,376.53
M2,M70,321.53
M2,M71,300.738
M2,M72,311.738
M2,M73,322.738
M2,M74,333.738
M2,M75,344.738
M2,M76,374.33
M2,M77,372.13
M2,M78,383.13
M2,M79,394.13
M2,M80,339.13
M2,M81,318.338
M2,M82,329.338
M2,M83,340.338
M2,M84,351.338
M2,M85,362.338
M2,M86,391.93
M2,M87,389.73
M2,M88,400.73
M2,M89,411.73
M2,M90,356.73
M2,M91,335.938
M2,M92,346.938
M2,M93,357.938
M2,M94,368.938
M2,M95,379.938
M2,M96,366.314
M2,M97,377.314
M2,M98,388.314
M2,M99,399.314
M2,M100,410.314
M3,M1,270.275
M3,M2,281.275
M3,M4,31.0
M3,M5,42.0
M3,M6,71.592
M3,M7,82.592
M3,M8,93.592
M3,M9,104.592
M3,M10,115.592
M3,M11,149.584
M3,M12,160.584
M3,M13,131.984
M3,M14,142.984
M3,M15,153.984
M3,M16,117.577
M3,M17,128.577
M3,M18,139.577
M3,M19,150.577
M3,M20,161.577
M3,M21,167.184
M3,M22,178.184
M3,M23,177.969
M3,M24,188.969
M3,M25,138.369
M3,M26,167.961
M3,M27,178.961
M3,M28,189.961
M3,M29,200.961
M3,M30,205.577
M3,M31,184.784
M3,M32,195.784
M3,M33,206.784
M3,M34,217.784
M3,M35,188.753
M3,M36,218.346
M3,M37,229.346
M3,M38,240.346
M3,M39,251.346
M3,M40,223.177
M3,M41,202.384
M3,M42,213.384
M3,M43,224.384
M3,M44,235.384
M3,M45,239.138
M3,M46,268.73
M3,M47,279.73
M3,M48,290.73
M3,M49,301.73
M3,M50,312.73
M3,M51,254.538
M3,M52,265.538
M3,M53,276.538
M3,M54,287.538
M3,M55,298.538
M3,M56,328.13
M3,M57,325.93
M3,M58,336.93
M3,M59,347.93
M3,M60,292.93
M3,M61,272.138
M3,M62,283.138
M3,M63,294.138
M3,M64,305.138
M3,M65,316.138
M3,M66,345.73
M3,M67,343.53
M3,M68,354.53
M3,M69,365.53
M3,M70,310.53
M3,M71,289.738
M3,M72,300.738
M3,M73,311.738
M3,M74,322.738
M3,M75,333.738
M3,M76,363.33
M3,M77,361.13
M3,M78,372.13
M3,M79,383.13
M3,M80,328.13
M3,M81,307.338
M3,M82,318.338
M3,M83,329.338
M3,M84,340.338
M3,M85,351.338
M3,M86,380.93
M3,M87,378.73
M3,M88,389.73
M3,M89,400.73
M3,M90,345.73
M3,M91,324.938
M3,M92,335.938
M3,M93,346.938
M3,M94,357.938
M3,M95,368.938
M3,M96,355.314
M3,M97,366.314
M3,M98,377.314
M3,M99,388.314
M3,M100,399.314
M4,M1,259.275
M4,M2,270.275
M4,M3,281.275
M4,M5,31.0
M4,M6,60.592
M4,M7,71.592
M4,M8,82.592
M4,M9,93.592
M4,M10,104.592
M4,M11,138.584
M4,M12,149.584
M4,M13,120.984
M4,M14,131.984
M4,M15,142.984
M4,M16,106.577
M4,M17,117.577
M4,M18,128.577
M4,M19,139.577
M4,M20,150.577
M4,M21,156.184
M4,M22,167.184
M4,M23,166.969
M4,M24,177.969
M4,M25,127.369
M4,M26,156.961
M4,M27,167.961
M4,M28,178.961
M4,M29,189.961
M4,M30,194.577
M4,M31,173.784
M4,M32,184.784
M4,M33,195.784
M4,M34,206.784
M4,M35,177.753
M4,M36,207.346
M4,M37,218.346
M4,M38,229.346
M4,M39,240.346
M4,M40,212.177
M4,M41,191.384
M4,M42,202.384
M4,M43,213.384
M4,M44,224.384
M4,M45,228.138
M4,M46,257.73
M4,M47,268.73
M4,M48,279.73
M4,M49,290.73
M4,M50,301.73
M4,M51,243.538
M4,M52,254.538
M4,M53,265.538
M4,M54,276.538
